textsentence_id,text_id,sentence_id,word_count,sentiment,sentence,language
Charging01_0,Charging01,0,8,0.0,Does not stay connected to the speakers.,English
Charging01_1,Charging01,1,9,0.0,I'm constantly having to adjust this thing.,English
Charging02_0,Charging02,0,4,0.0,works as intended.,English
Charging02_1,Charging02,1,6,0.416666666667,Charges my megablast just fine.,English
Charging02_2,Charging02,2,13,0.0,Im buying my second one for the blast i just pucked up.,English
Charging03_0,Charging03,0,13,0.2,The charging dock really helps the usability and ease of the Megablast.,English
Charging03_1,Charging03,1,19,0.2,"My speaker is now ready and charged whenever I need it, and battery is never an issue.",English
Charging04_0,Charging04,0,2,0.0,1.,English
Charging04_1,Charging04,1,8,-0.8,Hate the UE Megablast support through Logitech.,English
Charging04_2,Charging04,2,16,0.0,Prior to last Thursday they had phone technical support and now only on-line and email.,English
Charging04_3,Charging04,3,10,0.0,I emailed last Thursday and as of Sunday afternoon.,English
Charging04_4,Charging04,4,17,0.0,"no response, technical support for this quality and $$$ price range is undetectable.",English
Charging04_5,Charging04,5,2,0.0,2.,English
Charging04_6,Charging04,6,22,0.116666666667,The code provided for 90 days free Music on Amazon was invalid or previously used and again no one to contact.,English
Charging04_7,Charging04,7,14,0.0,Reply to code which did come prompt on setting up Alexa on Amazon.,English
Charging04_8,Charging04,8,15,0.0,Contected Amaxon Saturday and waiting response as Ultimate Ears has not responded to repiy.,English
Charging04_9,Charging04,9,2,0.0,3.,English
Charging04_10,Charging04,10,18,-0.125,If you assume this Megablast workes with other UE produnts with UE boom app it does not.,English
Charging04_11,Charging04,11,27,0.255555555556,I have 3 UE Boom 2 which link together and I wanted more bass but fine that Blast and Megablast products are found by that app.,English
Charging04_12,Charging04,12,21,-0.404166666667,The product director was idiot for not maintaining continuity or allowing product designer to work in vacuum as non-UE product.,English
Charging04_13,Charging04,13,35,0.0,"If I was running 3 ea Boom 2 with Boom app and play bluetooth to Megablast, the 3 ea Boom 2 turn off, do to no support or continuity of product conceot.",English
Charging04_14,Charging04,14,2,0.0,4.,English
Charging04_15,Charging04,15,22,-0.5,You may experience and issue where after using to attempting to turn on there no response and fails to turn on.,English
Charging04_16,Charging04,16,23,0.0481481481481,"I found that by push volume up, volume down, power, and bluetooth pairing was able to revive from dead.",English
Charging04_17,Charging04,17,18,0.00555555555556,Another option is hold volume down and power which like older UE produnts resets to downloaded configuration.,English
Charging04_18,Charging04,18,2,0.0,5.,English
Charging04_19,Charging04,19,17,0.0,Choose blue Ultimate Ears app on play store which only addresses the Blast and Megablast products.,English
Charging04_20,Charging04,20,9,0.0,Once completed you update the Megablast internal software.,English
Charging04_21,Charging04,21,2,0.0,6.,English
Charging04_22,Charging04,22,17,-0.229166666667,Disappointment that cannot get that extra bass and run all products with previous product versions.,English
Charging04_23,Charging04,23,2,0.0,7.,English
Charging04_24,Charging04,24,36,0.139285714286,Buyer beware...... however the Alexa WiFi operations cool but may be limited to home usage or take another WiFi source or hotspot and to create another connection and access to another WiFi connection.,English
Charging04_25,Charging04,25,16,0.5,"The unit does work Bluetooth but stand alone allowed, unless you more blast products.",English
Charging04_26,Charging04,26,2,0.0,8.,English
Charging04_27,Charging04,27,29,-0.0833333333333,"The dock is essential for home usage but come less power supply and cable, as you must use power supply and cable provide with purchase of Megablast.",English
Charging04_28,Charging04,28,17,0.5,Cheap alternative feature for $$ 40 dock not to have own power supply and cable.,English
